(numpy.datetime64('2023-09-26T00:00:00.000000000'), 4.60729, 4.61584, 4.59845, 4.60518, 'Tuesday', 'Tue', 'September', 'Sep', 4.60669, nan, nan, nan, True),
(numpy.datetime64('2023-09-25T00:00:00.000000000'), 4.60716, 4.60962, 4.58308, 4.60727, 'Monday', 'Mon', 'September', 'Sep', 4.6017825, nan, nan, nan, True),
(numpy.datetime64('2023-09-22T00:00:00.000000000'), 4.61457, 4.61673, 4.58429, 4.60282, 'Friday', 'Fri', 'September', 'Sep', 4.6046025, nan, nan, nan, True),
(numpy.datetime64('2023-09-21T00:00:00.000000000'), 4.62105, 4.64073, 4.60968, 4.61416, 'Thursday', 'Thu', 'September', 'Sep', 4.621404999999999, nan, nan, nan, True),
(numpy.datetime64('2023-09-20T00:00:00.000000000'), 4.65682, 4.67676, 4.6083, 4.62127, 'Wednesday', 'Wed', 'September', 'Sep', 4.6407875, nan, nan, nan, True),
(numpy.datetime64('2023-09-19T00:00:00.000000000'), 4.63797, 4.6623, 4.63797, 4.65675, 'Tuesday', 'Tue', 'September', 'Sep', 4.6487475, nan, nan, nan, True),
(numpy.datetime64('2023-09-18T00:00:00.000000000'), 4.63854, 4.64745, 4.6349, 4.63841, 'Monday', 'Mon', 'September', 'Sep', 4.639825, nan, nan, nan, True),
(numpy.datetime64('2023-09-15T00:00:00.000000000'), 4.63376, 4.64586, 4.62915, 4.64571, 'Friday', 'Fri', 'September', 'Sep', 4.63862, nan, nan, nan, True),
(numpy.datetime64('2023-09-14T00:00:00.000000000'), 4.62634, 4.64171, 4.62052, 4.63359, 'Thursday', 'Thu', 'September', 'Sep', 4.63054, nan, nan, nan, True),
(numpy.datetime64('2023-09-13T00:00:00.000000000'), 4.66091, 4.67679, 4.60669, 4.62655, 'Wednesday', 'Wed', 'September', 'Sep', 4.642735, nan, nan, nan, True),
(numpy.datetime64('2023-09-12T00:00:00.000000000'), 4.63931, 4.69663, 4.63591, 4.66104, 'Tuesday', 'Tue', 'September', 'Sep', 4.6582225, nan, nan, nan, True),
(numpy.datetime64('2023-09-11T00:00:00.000000000'), 4.61716, 4.65098, 4.60632, 4.63878, 'Monday', 'Mon', 'September', 'Sep', 4.62831, nan, nan, nan, True),
(numpy.datetime64('2023-09-08T00:00:00.000000000'), 4.62629, 4.62808, 4.59524, 4.61809, 'Friday', 'Fri', 'September', 'Sep', 4.616925, nan, nan, nan, True),
(numpy.datetime64('2023-09-07T00:00:00.000000000'), 4.56968, 4.63065, 4.56722, 4.62534, 'Thursday', 'Thu', 'September', 'Sep', 4.5982225, nan, nan, nan, True),
(numpy.datetime64('2023-09-06T00:00:00.000000000'), 4.49092, 4.58791, 4.48997, 4.56888, 'Wednesday', 'Wed', 'September', 'Sep', 4.53442, nan, nan, nan, True),
(numpy.datetime64('2023-09-05T00:00:00.000000000'), 4.47367, 4.49866, 4.4681, 4.49131, 'Tuesday', 'Tue', 'September', 'Sep', 4.4829349999999994, nan, nan, nan, True),
(numpy.datetime64('2023-09-04T00:00:00.000000000'), 4.46569, 4.47619, 4.46227, 4.47335, 'Monday', 'Mon', 'September', 'Sep', 4.469375, nan, nan, nan, True),
(numpy.datetime64('2023-09-01T00:00:00.000000000'), 4.46887, 4.47728, 4.46408, 4.46716, 'Friday', 'Fri', 'September', 'Sep', 4.4693475, nan, nan, nan, True),
(numpy.datetime64('2023-08-31T00:00:00.000000000'), 4.46653, 4.47975, 4.46292, 4.47045, 'Thursday', 'Thu', 'August', 'Aug', 4.4699124999999995, nan, nan, nan, True),
(numpy.datetime64('2023-08-30T00:00:00.000000000'), 4.46521, 4.47979, 4.46234, 4.46742, 'Wednesday', 'Wed', 'August', 'Aug', 4.4686900000000005, nan, nan, nan, True),
(numpy.datetime64('2023-08-29T00:00:00.000000000'), 4.4704, 4.47466, 4.46268, 4.4652, 'Tuesday', 'Tue', 'August', 'Aug', 4.468235, nan, nan, nan, True),
(numpy.datetime64('2023-08-28T00:00:00.000000000'), 4.46565, 4.4809, 4.46208, 4.47018, 'Monday', 'Mon', 'August', 'Aug', 4.4697025, nan, nan, nan, True),
(numpy.datetime64('2023-08-25T00:00:00.000000000'), 4.47966, 4.47984, 4.45819, 4.4689, 'Friday', 'Fri', 'August', 'Aug', 4.4716474999999996, nan, nan, nan, True),
(numpy.datetime64('2023-08-24T00:00:00.000000000'), 4.46672, 4.48286, 4.46442, 4.47948, 'Thursday', 'Thu', 'August', 'Aug', 4.473369999999999, nan, nan, nan, True),
(numpy.datetime64('2023-08-23T00:00:00.000000000'), 4.4692, 4.48588, 4.462, 4.46654, 'Wednesday', 'Wed', 'August', 'Aug', 4.470905, nan, nan, nan, True),
(numpy.datetime64('2023-08-22T00:00:00.000000000'), 4.47641, 4.47791, 4.45772, 4.4692, 'Tuesday', 'Tue', 'August', 'Aug', 4.47031, nan, nan, nan, True),
(numpy.datetime64('2023-08-21T00:00:00.000000000'), 4.46109, 4.48349, 4.45545, 4.47651, 'Monday', 'Mon', 'August', 'Aug', 4.4691350000000005, nan, nan, nan, True),
(numpy.datetime64('2023-08-18T00:00:00.000000000'), 4.46828, 4.48864, 4.4577, 4.45945, 'Friday', 'Fri', 'August', 'Aug', 4.4685175, nan, nan, nan, True),
(numpy.datetime64('2023-08-17T00:00:00.000000000'), 4.46756, 4.47826, 4.46133, 4.46812, 'Thursday', 'Thu', 'August', 'Aug', 4.4688175, nan, nan, nan, True),
(numpy.datetime64('2023-08-16T00:00:00.000000000'), 4.4739, 4.47861, 4.44659, 4.4677, 'Wednesday', 'Wed', 'August', 'Aug', 4.4667, nan, nan, nan, True),
(numpy.datetime64('2023-08-15T00:00:00.000000000'), 4.44747, 4.49674, 4.44694, 4.47486, 'Tuesday', 'Tue', 'August', 'Aug', 4.4665025, nan, nan, nan, True),
(numpy.datetime64('2023-08-14T00:00:00.000000000'), 4.43847, 4.45916, 4.42892, 4.44775, 'Monday', 'Mon', 'August', 'Aug', 4.443575, nan, nan, nan, True),
